#Données
#x      Energie Potentiel
-5       0
-4.99975       0
-4.9995       0
-4.99925       0
-4.999       0
-4.99875       0
-4.9985       0
-4.99825       0
-4.998       0
-4.99775       0
-4.9975       0
-4.99725       0
-4.997       0
-4.99675       0
-4.9965       0
-4.99625       0
-4.996       0
-4.99575       0
-4.9955       0
-4.99525       0
-4.995       0
-4.99475       0
-4.9945       0
-4.99425       0
-4.994       0
-4.99375       0
-4.9935       0
-4.99325       0
-4.993       0
-4.99275       0
-4.9925       0
-4.99225       0
-4.992       0
-4.99175       0
-4.9915       0
-4.99125       0
-4.991       0
-4.99075       0
-4.9905       0
-4.99025       0
-4.99       0
-4.98975       0
-4.9895       0
-4.98925       0
-4.989       0
-4.98875       0
-4.9885       0
-4.98825       0
-4.988       0
-4.98775       0
-4.9875       0
-4.98725       0
-4.987       0
-4.98675       0
-4.9865       0
-4.98625       0
-4.986       0
-4.98575       0
-4.9855       0
-4.98525       0
-4.985       0
-4.98475       0
-4.9845       0
-4.98425       0
-4.984       0
-4.98375       0
-4.9835       0
-4.98325       0
-4.983       0
-4.98275       0
-4.9825       0
-4.98225       0
-4.982       0
-4.98175       0
-4.9815       0
-4.98125       0
-4.981       0
-4.98075       0
-4.9805       0
-4.98025       0
-4.98       0
-4.97975       0
-4.9795       0
-4.97925       0
-4.979       0
-4.97875       0
-4.9785       0
-4.97825       0
-4.978       0
-4.97775       0
-4.9775       0
-4.97725       0
-4.977       0
-4.97675       0
-4.9765       0
-4.97625       0
-4.976       0
-4.97575       0
-4.9755       0
-4.97525       0
-4.975       0
-4.97475       0
-4.9745       0
-4.97425       0
-4.974       0
-4.97375       0
-4.9735       0
-4.97325       0
-4.973       0
-4.97275       0
-4.9725       0
-4.97225       0
-4.972       0
-4.97175       0
-4.9715       0
-4.97125       0
-4.971       0
-4.97075       0
-4.9705       0
-4.97025       0
-4.97       0
-4.96975       0
-4.9695       0
-4.96925       0
-4.969       0
-4.96875       0
-4.9685       0
-4.96825       0
-4.968       0
-4.96775       0
-4.9675       0
-4.96725       0
-4.967       0
-4.96675       0
-4.9665       0
-4.96625       0
-4.966       0
-4.96575       0
-4.9655       0
-4.96525       0
-4.965       0
-4.96475       0
-4.9645       0
-4.96425       0
-4.964       0
-4.96375       0
-4.9635       0
-4.96325       0
-4.963       0
-4.96275       0
-4.9625       0
-4.96225       0
-4.962       0
-4.96175       0
-4.9615       0
-4.96125       0
-4.961       0
-4.96075       0
-4.9605       0
-4.96025       0
-4.96       0
-4.95975       0
-4.9595       0
-4.95925       0
-4.959       0
-4.95875       0
-4.9585       0
-4.95825       0
-4.958       0
-4.95775       0
-4.9575       0
-4.95725       0
-4.957       0
-4.95675       0
-4.9565       0
-4.95625       0
-4.956       0
-4.95575       0
-4.9555       0
-4.95525       0
-4.955       0
-4.95475       0
-4.9545       0
-4.95425       0
-4.954       0
-4.95375       0
-4.9535       0
-4.95325       0
-4.953       0
-4.95275       0
-4.9525       0
-4.95225       0
-4.952       0
-4.95175       0
-4.9515       0
-4.95125       0
-4.951       0
-4.95075       0
-4.9505       0
-4.95025       0
-4.95       0
-4.94975       0
-4.9495       0
-4.94925       0
-4.949       0
-4.94875       0
-4.9485       0
-4.94825       0
-4.948       0
-4.94775       0
-4.9475       0
-4.94725       0
-4.947       0
-4.94675       0
-4.9465       0
-4.94625       0
-4.946       0
-4.94575       0
-4.9455       0
-4.94525       0
-4.945       0
-4.94475       0
-4.9445       0
-4.94425       0
-4.944       0
-4.94375       0
-4.9435       0
-4.94325       0
-4.943       0
-4.94275       0
-4.9425       0
-4.94225       0
-4.942       0
-4.94175       0
-4.9415       0
-4.94125       0
-4.941       0
-4.94075       0
-4.9405       0
-4.94025       0
-4.94       0
-4.93975       0
-4.9395       0
-4.93925       0
-4.939       0
-4.93875       0
-4.9385       0
-4.93825       0
-4.938       0
-4.93775       0
-4.9375       0
-4.93725       0
-4.937       0
-4.93675       0
-4.9365       0
-4.93625       0
-4.936       0
-4.93575       0
-4.9355       0
-4.93525       0
-4.935       0
-4.93475       0
-4.9345       0
-4.93425       0
-4.934       0
-4.93375       0
-4.9335       0
-4.93325       0
-4.933       0
-4.93275       0
-4.9325       0
-4.93225       0
-4.932       0
-4.93175       0
-4.9315       0
-4.93125       0
-4.931       0
-4.93075       0
-4.9305       0
-4.93025       0
-4.93       0
-4.92975       0
-4.9295       0
-4.92925       0
-4.929       0
-4.92875       0
-4.9285       0
-4.92825       0
-4.928       0
-4.92775       0
-4.9275       0
-4.92725       0
-4.927       0
-4.92675       0
-4.9265       0
-4.92625       0
-4.926       0
-4.92575       0
-4.9255       0
-4.92525       0
-4.925       0
-4.92475       0
-4.9245       0
-4.92425       0
-4.924       0
-4.92375       0
-4.9235       0
-4.92325       0
-4.923       0
-4.92275       0
-4.9225       0
-4.92225       0
-4.922       0
-4.92175       0
-4.9215       0
-4.92125       0
-4.921       0
-4.92075       0
-4.9205       0
-4.92025       0
-4.92       0
-4.91975       0
-4.9195       0
-4.91925       0
-4.919       0
-4.91875       0
-4.9185       0
-4.91825       0
-4.918       0
-4.91775       0
-4.9175       0
-4.91725       0
-4.917       0
-4.91675       0
-4.9165       0
-4.91625       0
-4.916       0
-4.91575       0
-4.9155       0
-4.91525       0
-4.915       0
-4.91475       0
-4.9145       0
-4.91425       0
-4.914       0
-4.91375       0
